# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.346209734678268433e-01 8.278081417083740234e-01 6.801641732454299927e-02 2.346209734678268433e-01 8.278081417083740234e-01 6.801641732454299927e-02
1.000000000000000000e+03 2.747131220530718565e-04 2.491786144673824310e-04 6.016519910190254450e-05 2.747131220530718565e-04 2.491786144673824310e-04 6.016519910190254450e-05
2.000000000000000000e+03 4.797538349521346390e-05 5.499811231857165694e-05 2.429945379844866693e-05 4.797538349521346390e-05 5.499811231857165694e-05 2.429945379844866693e-05
3.000000000000000000e+03 1.481323852203786373e-05 1.512591461505508050e-05 7.871025445638224483e-06 1.481323852203786373e-05 1.512591461505508050e-05 7.871025445638224483e-06
4.000000000000000000e+03 5.074341243016533554e-05 3.480252926237881184e-04 4.080174840055406094e-04 5.074341243016533554e-05 3.480252926237881184e-04 4.080174840055406094e-04
5.000000000000000000e+03 1.549757325847167522e-05 2.641908067744225264e-04 4.389844834804534912e-04 1.549757325847167522e-05 2.641908067744225264e-04 4.389844834804534912e-04
6.000000000000000000e+03 8.422665814578067511e-06 1.784795699677488301e-06 3.390960046090185642e-06 8.422665814578067511e-06 1.784795699677488301e-06 3.390960046090185642e-06
7.000000000000000000e+03 8.269623322121333331e-06 1.599328925294685178e-06 8.992037692223675549e-07 8.269623322121333331e-06 1.599328925294685178e-06 8.992037692223675549e-07
8.000000000000000000e+03 6.619170108024263754e-06 4.542032172594190342e-07 7.807082056388026103e-07 6.619170108024263754e-06 4.542032172594190342e-07 7.807082056388026103e-07
9.000000000000000000e+03 5.258435066934907809e-06 3.177065082127228379e-07 5.925850246057962067e-07 5.258435066934907809e-06 3.177065082127228379e-07 5.925850246057962067e-07
1.000000000000000000e+04 4.619532319338759407e-06 1.426520043423806783e-06 3.539021463438984938e-06 4.619532319338759407e-06 1.426520043423806783e-06 3.539021463438984938e-06
